k,event,x,x_next,r,r_next,dx,dx_raw,dx_perm,q,p,z,a,s,u,v,R,Psi,horizon,closed
1,ROAM,1.0,0.0,2.000000000001,1.000000000001,-1.0,-1.0,-0.33333333333288884,1.9999999999979998,1.0,1.9999999999979998,0.33333333333288884,0.33333333333288884,0.3465735902794726,0.3465735902794726,0.4901290717335664,0.12011325347920375,0,0
2,HORIZON,0.0,-1000000000000.0,1.000000000001,1e+24,-1000000000000.0,-1000000000000.0,999999999999.0,1.0000000000020003e-24,999999999998.9999,1.0000000000010002e-12,-0.999999999999,-0.9999999999979999,-7.254328619247669,-7.254328619247669,10.259169919251342,52.625283716035796,1,0
3,ROAM,-1000000000000.0,-500000000000.0,1e+24,2.5e+23,500000000000.0,500000000000.0,300000000000.0,4.0,0.5,2.0,0.6,0.3333333333333333,0.6931471805599453,0.3465735902799726,0.7749621070721792,0.3002831336988758,0,0
4,ROAM,-500000000000.0,-250000000000.0,2.5e+23,6.25e+22,250000000000.0,250000000000.0,150000000000.0,4.0,0.5,2.0,0.6,0.3333333333333333,0.6931471805599453,0.3465735902799726,0.7749621070721792,0.3002831336988758,0,0
5,ROAM,-250000000000.0,-125000000000.0,6.25e+22,1.5625e+22,125000000000.0,125000000000.0,75000000000.0,4.0,0.5,2.0,0.6,0.3333333333333333,0.6931471805599453,0.3465735902799726,0.7749621070721792,0.3002831336988758,0,0
6,ROAM,-125000000000.0,-62500000000.0,1.5625e+22,3.90625e+21,62500000000.0,62500000000.0,37500000000.0,4.0,0.5,2.0,0.6,0.3333333333333333,0.6931471805599453,0.3465735902799726,0.7749621070721792,0.3002831336988758,0,0
7,ROAM,-62500000000.0,-31250000000.0,3.90625e+21,9.765625e+20,31250000000.0,31250000000.0,18750000000.0,4.0,0.5,2.0,0.6,0.3333333333333333,0.6931471805599453,0.3465735902799726,0.7749621070721792,0.3002831336988758,0,0
8,ROAM,-31250000000.0,-15625000000.0,9.765625e+20,2.44140625e+20,15625000000.0,15625000000.0,9375000000.0,4.0,0.5,2.0,0.6,0.3333333333333333,0.6931471805599453,0.3465735902799726,0.7749621070721792,0.3002831336988758,0,0
9,ROAM,-15625000000.0,-7812500000.0,2.44140625e+20,6.103515625e+19,7812500000.0,7812500000.0,4687500000.0,4.0,0.5,2.0,0.6,0.3333333333333333,0.6931471805599453,0.3465735902799726,0.7749621070721792,0.3002831336988758,0,0
10,ROAM,-7812500000.0,-3906250000.0,6.103515625e+19,1.52587890625e+19,3906250000.0,3906250000.0,2343750000.0,4.0,0.5,2.0,0.6,0.3333333333333333,0.6931471805599453,0.3465735902799726,0.7749621070721792,0.3002831336988758,0,0
11,ROAM,-3906250000.0,-1953125000.0,1.52587890625e+19,3.814697265625e+18,1953125000.0,1953125000.0,1171875000.0,4.0,0.5,2.0,0.6,0.3333333333333333,0.6931471805599453,0.3465735902799726,0.7749621070721792,0.3002831336988758,0,0
12,ROAM,-1953125000.0,-976562500.0,3.814697265625e+18,9.5367431640625e+17,976562500.0,976562500.0,585937500.0,4.0,0.5,2.0,0.6,0.3333333333333333,0.6931471805599453,0.3465735902799726,0.7749621070721792,0.3002831336988758,0,0
13,ROAM,-976562500.0,-488281250.0,9.5367431640625e+17,2.384185791015625e+17,488281250.0,488281250.0,292968750.0,4.0,0.5,2.0,0.6,0.3333333333333333,0.6931471805599453,0.3465735902799726,0.7749621070721792,0.3002831336988758,0,0
14,ROAM,-488281250.0,-244140625.0,2.384185791015625e+17,5.960464477539062e+16,244140625.0,244140625.0,146484375.0,4.0,0.5,2.0,0.6,0.3333333333333333,0.6931471805599453,0.3465735902799726,0.7749621070721792,0.3002831336988758,0,0
15,ROAM,-244140625.0,-122070312.5,5.960464477539062e+16,1.4901161193847656e+16,122070312.5,122070312.5,73242187.5,4.0,0.5,2.0,0.6,0.3333333333333333,0.6931471805599453,0.3465735902799726,0.7749621070721792,0.3002831336988758,0,0
16,ROAM,-122070312.5,-61035156.25,1.4901161193847656e+16,3725290298461915.0,61035156.25,61035156.25,36621093.75,3.999999999999999,0.5,1.9999999999999996,0.6,0.33333333333333326,0.6931471805599453,0.3465735902799726,0.7749621070721792,0.3002831336988758,0,0
17,ROAM,-61035156.25,-30517578.124999993,3725290298461915.0,931322574615479.0,30517578.125000007,30517578.125000007,18310546.875000004,3.999999999999999,0.5000000000000001,2.0,0.6,0.3333333333333333,0.6931471805599453,0.3465735902799726,0.7749621070721792,0.3002831336988758,0,0
18,ROAM,-30517578.124999993,-15258789.062499981,931322574615479.0,232830643653870.06,15258789.062500011,15258789.062500011,9155273.4375,3.9999999999999947,0.5000000000000002,1.9999999999999982,0.5999999999999995,0.3333333333333329,0.6931471805599446,0.3465735902799722,0.7749621070721784,0.30028313369887527,0,0
19,ROAM,-15258789.062499981,-7629394.531249958,232830643653870.06,58207660913467.766,7629394.531250023,7629394.531250023,4577636.718750004,3.9999999999999827,0.5000000000000011,1.9999999999999958,0.5999999999999986,0.3333333333333324,0.6931471805599432,0.3465735902799716,0.7749621070721768,0.30028313369887405,0,0
20,ROAM,-7629394.531249958,-3814697.265624914,58207660913467.766,14551915228367.195,3814697.2656250442,3814697.2656250442,2288818.3593750047,3.9999999999999303,0.5000000000000042,1.999999999999982,0.5999999999999943,0.3333333333333293,0.6931471805599364,0.34657359027996815,0.7749621070721693,0.30028313369886817,0,0
21,ROAM,-3814697.265624914,-1907348.6328123258,14551915228367.195,3637978807092.049,1907348.632812588,1907348.632812588,1144409.179687511,3.999999999999725,0.5000000000000173,1.9999999999999318,0.5999999999999781,0.3333333333333182,0.6931471805599111,0.3465735902799556,0.774962107072141,0.30028313369884624,0,0
22,ROAM,-1907348.6328123258,-953674.3164059008,3637978807092.049,909494701773.2621,953674.3164064251,953674.3164064251,572204.5898437713,3.999999999998901,0.5000000000000687,1.9999999999997253,0.5999999999999122,0.33333333333327225,0.6931471805598081,0.3465735902799039,0.7749621070720257,0.3002831336987569,0,0
23,ROAM,-953674.3164059008,-476837.1582024261,909494701773.2621,227373675443.56555,476837.15820347465,476837.15820347465,286102.29492191697,3.9999999999956013,0.5000000000002749,1.9999999999989002,0.599999999999648,0.3333333333330889,0.6931471805593954,0.3465735902796977,0.7749621070715644,0.30028313369839943,0,0
24,ROAM,-476837.1582024261,-238418.57910016447,227373675443.56555,56843418861.14138,238418.57910226163,238418.57910226163,143051.14746102144,3.9999999999824083,0.5000000000010996,1.9999999999956024,0.5999999999985927,0.33333333333235604,0.6931471805577464,0.3465735902788732,0.7749621070697208,0.3002831336969707,0,0
25,ROAM,-238418.57910016447,-119209.28954798508,56843418861.14138,14210854715.535345,119209.28955217938,119209.28955217938,71525.57373063653,3.9999999999296314,0.500000000004398,1.9999999999824079,0.5999999999943705,0.33333333332942394,0.6931471805511492,0.34657359027557455,0.7749621070623449,0.30028313369125464,0,0
